id,submitted_date,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
4429,12/08/2021,Male,Malay,19,TRG,OTH,S.UTAMA,Y-Y15ZR,11710,1690,36,1800,1600,0,362,10020,0.2261,1238.17,5,0.8557,approved
4430,18/08/2021,Male,Malay,22,SGR,MNC,S.UTAMA,Y-135LC AC,9290,930,24,2200,1986,0,418,8360,0.2105,1568,0,0.8999,approved
4431,12/08/2021,Male,Indian,30,PNG,SRC,S.BULOH,Y-Y15ZR,11710,1710,48,1800,1500,0,292,10000,0.1944,1208.33,0,0.854,rejected
4432,14/08/2021,Female,Malay,19,SGR,SRC,MERU,Y-115Z(UE15),7630,770,48,1300,1133,0,201,6860,0.1766,932.92,0,0.8991,approved
4433,12/08/2021,Female,Malay,40,SGR,F&B,ONLINE SALES,H-DASHRREPSOL,8570,1400,36,10000,9999,0,259,7170,0,,4,0.8366,rejected
4434,12/08/2021,Male,Malay,27,KUL,SRC,SRI KBGAN,H-RS150R TRICO,11090,1110,48,2450,2100,2532,292,9980,1.3443,-723.08,5,0.8999,rejected
4435,15/08/2021,Male,Malay,31,SGR,MNC,SS,H-RS150R TRICO,11090,1110,36,2271,2071,743,361,9980,0.5328,967.61,7,0.8999,stockout
4436,13/08/2021,Male,Indian,42,SGR,SRC,K.SELANGOR,H-DASHR152,8370,840,24,2718,1380,0,377,7530,0,,7,0.8996,cancelled
4438,13/08/2021,Male,Malay,21,NSN,TRD,SENTUL,Y-135LC AC,9290,930,48,1250,1127.25,0,244,8360,0,,2,0.8999,rejected
4439,13/08/2021,Male,Indian,19,SGR,EDU,KAPAR,H-RS150R TRICO,11090,1110,48,1200,900,0,292,9980,0.3234,608.92,0,0.8999,rejected
4440,13/08/2021,Male,Malay,26,KUL,GIG,PANGLIMA,H-WAVEAL,6280,2629,24,4000,3500,0,183,3651,0,,6,0.5814,reverted
4441,13/08/2021,Female,Malay,19,PJY,ECOM,SUBANG,H-WAVER125I,8620,880,48,1800,1600,0,226,7740,0.1411,1374.25,0,0.8979,stockout
4442,14/08/2021,Male,Malay,28,KTN,SRC,SENTOSA,H-DASHR152,8370,860,36,1600,1500,0,272,7510,0,,7,0.8973,rejected
4443,14/08/2021,Male,Indian,52,MLK,SRC,SENTOSA,Y-Y15ZR,11710,1690,48,2316,1911,0,293,10020,0.1529,1618.75,0,0.8557,rejected
4444,14/08/2021,Male,Malay,20,LBN,MNC,MERU,H-EX5NBC,6770,680,48,2000,1800,0,178,6090,0.0987,1622.38,0,0.8996,approved
4445,14/08/2021,Male,Malay,24,SGR,GIG,SENTUL,H-WAVER125I,8620,860,36,1300,1208.85,0,281,7760,0,,0,0.9002,reverted
4446,15/08/2021,Male,Malay,27,KTN,IT,SUBANG,H-DASHR152,8370,840,36,3660,3239,1168,272,7530,0.4446,1799.08,5,0.8996,archived
4447,15/08/2021,Male,Malay,20,PRK,BUID,SUBANG,H-DASHRREPSOL,8570,860,48,1600,1400,0,225,7710,0.1606,1175.13,0,0.8996,rejected
4448,15/08/2021,Male,Malay,23,JHR,OTH,R.PANJANG,H-VARIO150,9770,980,48,2000,1813.61,0,257,8790,0,,5,0.8997,cancelled
4449,15/08/2021,Female,Malay,19,SGR,HLTH,R.PANJANG,Y-115Z(UE15),7630,770,36,1246.4,1107.28,0,248,6860,0,,0,0.8991,reverted
4450,25/08/2021,Male,Malay,23,SGR,TRD,PUCHONG,H-WAVER125IM,8620,860,48,1460,1360,0,227,7760,0.1664,1133.67,0,0.9002,approved
4451,17/08/2021,Female,Malay,22,PHG,SRC,SRI KBGAN,H-RS150R TRICO,11090,1110,48,1680,1434.88,0,292,9980,0,,5,0.8999,approved
4452,15/08/2021,Male,Malay,40,SGR,SRC,K.LAMA,H-EX5NBC,6770,700,36,1700,1553,0,220,6070,0.1411,1333.81,0,0.8966,reverted
4453,15/08/2021,Male,Malay,20,SBH,GOODS,K.SELANGOR,Y-Y15ZR,11710,1690,36,1934,1761,0,362,10020,0.2055,1399.17,0,0.8557,rejected
4454,16/08/2021,Male,Malay,22,KTN,MNC,SS,H-DASHR152,8370,860,48,2143.71,1956.86,0,220,7510,0.1119,1737.82,0,0.8973,reverted
4455,15/08/2021,Male,Malay,54,KTN,MNC,PANGLIMA,H-WAVEAL,6280,2629,36,5000,4500,0,132,3651,0,,4,0.5814,rejected
4456,16/08/2021,Female,Malay,24,SGR,GOODS,ONLINE SALES,Y-135LC AC,9290,950,36,3521,2817,506,302,8340,0.2865,2009.83,8,0.8977,stockout
4457,17/08/2021,Female,Malay,22,PRK,F&B,SENTUL,H-WAVER125I,8620,860,48,1338,1157,0,227,7760,0.1956,930.67,0,0.9002,archived
4458,16/08/2021,Female,Malay,22,SGR,SRC,R.PANJANG,H-WAVER125I,8620,860,24,3703.92,3411.17,0,388,7760,0,,0,0.9002,reverted
4459,16/08/2021,Male,Others,21,SBH,TRD,SENTUL,H-DASHRREPSOL,8570,860,48,1422,1316,0,225,7710,0.1709,1091.13,0,0.8996,reverted
4460,16/08/2021,Female,Malay,39,SGR,MNC,ONLINE SALES,H-DASHR152,8370,1790,36,1405,1261.85,0,238,6580,0,,6,0.7861,rejected
4461,16/08/2021,Female,Indian,29,SGR,SRC,SENTOSA,H-DASHRREPSOL,8570,860,24,1200,1100,0,386,7710,0,,4,0.8996,rejected
4462,16/08/2021,Male,Malay,19,PRK,SRC,SENTUL,H-DASHRREPSOL,8570,860,48,2080.56,1564.5,0,225,7710,0,,5,0.8996,cancelled
4463,16/08/2021,Female,Malay,25,SGR,F&B,SENTOSA,Y-135LC AC,9290,930,36,1838,1353,0,302,8360,0.2231,1051.11,0,0.8999,approved
4464,16/08/2021,Male,Indian,25,PRK,MNC,SENTOSA,Y-Y15ZR,11710,1690,48,1500,978,0,293,10020,0.2988,685.75,0,0.8557,approved
4465,16/08/2021,Male,Indian,26,SGR,EDU,KAPAR,Y-Y15ZR,11710,1690,36,1876,1726,0,362,10020,0.2096,1364.17,0,0.8557,reverted
4466,17/08/2021,Male,Malay,27,PRK,SRC,K.SELANGOR,Y-115Z(UE15),7630,770,48,1618,1518,0,201,6860,0,,2,0.8991,rejected
4467,16/08/2021,Male,Indian,21,KUL,OTH,ONLINE SALES,H-DASHR152,8370,860,48,1406,1405,0,220,7510,0,,2,0.8973,cancelled
4468,21/08/2021,Male,Malay,55,PRK,HTL,S.UTAMA,Y-Y16ZR,13620,2000,36,6582,3739,1973,420,11620,0.6399,1346.39,8,0.8532,stockout
4469,16/08/2021,Male,Indian,23,PRK,MNC,SENTOSA,Y-135LC AC,9290,930,36,2350,1976.34,0,302,8360,0.1528,1674.45,5,0.8999,reverted
4470,16/08/2021,Female,Indian,29,SGR,SRC,SENTOSA,Y-115Z(UE15),7630,770,36,1200,603.2,0,248,6860,0.4107,355.48,4,0.8991,cancelled
4471,16/08/2021,Female,Indian,46,KDH,MNC,SENTOSA,H-DASHR152,8370,840,48,1426.29,1221.74,0,220,7530,0,,2,0.8996,rejected
4472,16/08/2021,Male,Indian,32,PNG,SRC,RAWANG,H-RS150R TRICO,11090,1110,48,3529.14,2716.29,0,292,9980,0,,4,0.8999,rejected
4473,16/08/2021,Male,Malay,25,SGR,SRC,RAWANG,Y-Y15ZR,11710,1690,48,4000,2000,0,293,10020,0,,5,0.8557,rejected
4474,17/08/2021,Male,Malay,37,KTN,SRC,S.BULOH,H-RS150R TRICO,11090,1110,48,4986,2333,0,292,9980,0,,4,0.8999,rejected
4475,17/08/2021,Female,Malay,25,SWK,MNC,PANGLIMA,H-DASHR152,8370,840,48,1338,1046,0,220,7530,0.21,826.38,0,0.8996,reverted
4476,17/08/2021,Male,Malay,37,SBH,SRC,SRI KBGAN,Y-135LC AC,9290,930,48,1200,1685,0,244,8360,0.1447,1441.17,0,0.8999,rejected
4477,17/08/2021,Male,Malay,20,PRK,SRC,SENTUL,Y-135LC AC,9290,930,48,1500,1307.95,0,244,8360,0,,5,0.8999,reverted
4478,22/08/2021,Male,Malay,22,SBH,SRC,SS,H-DASHS125,8050,810,48,2020,1303,0,212,7240,0,,0,0.8994,archived
4479,17/08/2021,Male,Malay,25,KUL,ECOM,SENTUL,Y-135LC AC,9290,930,36,1500,1314.52,0,302,8360,0,,4,0.8999,rejected
4480,17/08/2021,Female,Malay,34,KUL,MNC,T.PULAI,Y-135LC AC,9290,1000,48,1400,1332,1068,242,8290,0.9833,22.21,7,0.8924,rejected
4481,17/08/2021,Male,Malay,31,PRK,SRC,SRI KBGAN,H-RS150R TRICO,11090,1110,48,3120,2496,146,292,9980,0.1751,2058.92,6,0.8999,approved
4482,17/08/2021,Male,Malay,31,SGR,SRC,SRI KBGAN,H-RS150R TRICO,11090,1110,48,4199.06,4140.77,0,292,9980,0,,4,0.8999,rejected
4483,17/08/2021,Male,Malay,49,JHR,SRC,SA,H-DASHR152,8370,1200,36,3000,2704,201,259,7170,0.1701,2244.08,8,0.8566,stockout
4484,17/08/2021,Male,Malay,22,SGR,MNC,S.UTAMA,Y-Y15ZR,11710,3190,36,1700,1547,0,308,8520,0,,0,0.7276,reverted
4485,17/08/2021,Female,Malay,21,JHR,F&B,SENTUL,H-DASHRREPSOL,8570,860,48,1869,1425,0,225,7710,0.1578,1200.13,0,0.8996,rejected
4486,17/08/2021,Male,Indian,58,PRK,SRC,S.UTAMA,H-DASHR152,8370,840,48,1800,1189,0,220,7530,0,,0,0.8996,rejected
4487,17/08/2021,Female,Malay,29,KUL,MNC,S.UTAMA,Y-NVXV2,12420,1900,48,1187.5,1187,0,307,10520,0,,0,0.847,cancelled
4488,17/08/2021,Male,Malay,28,SBH,OTH,ONLINE SALES,H-DASHRREPSOL,8570,880,48,1557,1547,0,225,7690,0,,0,0.8973,reverted
4489,17/08/2021,Male,Malay,26,JHR,MNC,SA,H-BEAT(ACH110),7520,750,48,3707,3422,405,198,6770,0.1761,2819.54,6,0.9003,archived
4490,27/08/2021,Female,Malay,18,PJY,OTH,ONLINE SALES,Y-Y15ZR,11710,1690,48,1600,1400,0,293,10020,0.2088,1107.75,5,0.8557,rejected
4491,17/08/2021,Male,Malay,36,PRK,SRC,S.UTAMA,Y-Y15ZR,11710,1690,48,5414,2946,1001,293,10020,0.439,1652.75,7,0.8557,approved
4492,17/08/2021,Female,Malay,18,JHR,OTH,K.LAMA,H-EX5NBC,6770,680,36,1700,1553,0,220,6090,0,,0,0.8996,cancelled
4493,17/08/2021,Male,Chinese,30,SBH,SRC,SRI KBGAN,H-RS150R TRICO,11090,1110,48,3751.32,2940.46,0,292,9980,0,,4,0.8999,rejected
4494,17/08/2021,Male,Malay,20,PRK,SRC,K.LAMA,H-DASHRREPSOL,8570,1800,24,1281,1254,248,339,6770,0.4677,667.5,6,0.79,stockout
4495,17/08/2021,Male,Malay,20,PRK,MNC,SA,Y-135LC SE,9740,1160,48,1478,1362,0,251,8580,0.1837,1111.75,0,0.8809,stockout
4496,17/08/2021,Female,Malay,18,JHR,SRC,K.LAMA,H-EX5NBC,6770,700,36,1700,1533,0,220,6070,0.143,1313.81,0,0.8966,reverted
4498,17/08/2021,Male,Malay,38,PHG,SRC,MERU,H-ADV150A,14320,1430,48,2000,1800,0,376,12890,0,,4,0.9001,rejected
4499,17/08/2021,Male,Malay,22,KUL,SRC,MERU,Y-135LC AC,9290,1330,36,1850,1669,0,288,7960,0.1722,1381.56,5,0.8568,approved
4500,17/08/2021,Male,Others,27,SBH,MNC,MERU,H-WAVEAL,6280,630,24,1750,1700,0,283,5650,0,,0,0.8997,reverted
4501,18/08/2021,Male,Malay,18,SGR,SRC,MERU,Y-115Z(UE15),7630,770,36,2000,1500,0,248,6860,0.1651,1252.28,5,0.8991,rejected
4502,17/08/2021,Male,Malay,18,JHR,SRC,MERU,Y-115Z(UE15),7630,770,36,2035,1873,0,248,6860,0.1323,1625.28,0,0.8991,rejected
4503,17/08/2021,Male,Indian,24,KUL,F&B,MERU,H-RS150RR,12090,1210,48,1615.39,1493.84,0,318,10880,0,,5,0.8999,reverted
4504,18/08/2021,Male,Indian,31,KDH,SRC,K.LAMA,H-DASHRREPSOL,8570,860,48,1200,1199,0,225,7710,0,,2,0.8996,rejected
4506,23/08/2021,Male,Malay,24,SGR,F&B,S.UTAMA,Y-115Z(UE15),7630,770,36,1200,1100,0,248,6860,0,,2,0.8991,rejected
4507,23/08/2021,Male,Malay,42,SGR,SRC,MERU,Y-135LC AC,9290,930,48,1800,1301,0,244,8360,0.1874,1057.17,4,0.8999,approved
4508,18/08/2021,Male,Malay,48,JHR,SRC,MERU,H-ADV150A,15420,4500,36,10000,7914,28,395,10920,0.0534,7491.67,7,0.7082,approved
4509,18/08/2021,Male,Malay,22,PRK,MNC,MERU,Y-115Z(UE15),7630,790,36,5000,4000,0,247,6840,0,,0,0.8965,reverted
4510,18/08/2021,Male,Indian,27,SGR,MNC,MERU,H-DASHRREPSOL,8570,880,36,2000,1650,0,278,7690,0,,3,0.8973,rejected
4511,18/08/2021,Female,Malay,24,SGR,TRD,MERU,Y-115Z(UE15),7630,770,48,1577,1060,0,201,6860,0.1888,859.92,5,0.8991,approved
4512,18/08/2021,Female,Malay,50,KTN,HLTH,PANGLIMA,H-WAVEAL,6280,2629,36,7151,5709,3426,132,3651,0.6232,2151.16,6,0.5814,stockout
4514,18/08/2021,Female,Indian,29,SGR,SRC,SENTOSA,Y-115Z(UE15),7630,770,36,1200,1100,0,248,6860,0,,4,0.8991,cancelled
4515,25/08/2021,Male,Malay,34,PRK,EDU,PANGLIMA,Y-EGOSO,7320,2330,24,3022,4069,0,250,4990,0.0613,3819.5,5,0.6817,stockout
4516,18/08/2021,Male,Malay,29,MLK,F&B,R.PANJANG,H-DASHR152,8370,840,48,2200,2000,0,220,7530,0,,0,0.8996,rejected
