id,Date,Dealer,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
4836,30/08/2021,GTM,Male,Malay,32,PHG,OTH,ONLINE SALES,Y-EGOSO,7320,730,48,4053,3645,714,193,6590,0.2486,2738.79,6,0.9003,approved
4837,30/08/2021,GTM,Male,Malay,36,SGR,SRC,RAWANG,H-DASHRREPSOL,8570,860,48,3283,2939,268,225,7710,0.1677,2446.13,7,0.8996,approved
4838,30/08/2021,GTM,Female,Malay,34,PHG,OTH,SS,Y-135LC AC,9290,930,48,1200,1059,0,244,8360,0,,4,0.8999,rejected
4839,30/08/2021,GTM,Male,Malay,43,SBH,SRC,K.LAMA,H-DASHR152,8370,840,36,1300,1152,0,272,7530,0,,7,0.8996,rejected
4841,30/08/2021,GTM,Male,Indian,33,PNG,IT,SENTUL,H-DASHR152,8370,840,48,3096.77,2796.42,0,220,7530,0,,1,0.8996,rejected
4843,30/08/2021,GTM,Female,Indian,20,KDH,SRC,RAWANG,H-WAVES125I,8050,810,48,1200,1040,0,212,7240,0.203,828.83,0,0.8994,stockout
4846,30/08/2021,GTM,Female,Indian,21,SGR,MNC,SA,Y-115Z(UE15),7630,770,36,1551,1405,0,248,6860,0.1763,1157.28,0,0.8991,approved
4851,30/08/2021,GTM,Female,Malay,43,PRK,SRC,T.PULAI,H-BEAT(ACH110),7520,750,36,3000,2700,923,245,6770,0.4324,1532.53,6,0.9003,approved
4852,30/08/2021,GTM,Male,Malay,20,KDH,MNC,S.UTAMA,Y-EGOSO,7320,730,36,1900,1750,0,238,6590,0.136,1512.03,0,0.9003,approved
4853,30/08/2021,GTM,Male,Malay,35,KDH,SRC,RAWANG,H-WAVEAL,6280,630,48,2401.07,2194.32,170.15,165,5650,0.1526,1859.38,7,0.8997,rejected
4854,31/08/2021,GTM,Male,Malay,22,SGR,SRC,RAWANG,Y-115Z(UE15),7630,770,48,1100,1000,0,201,6860,0,,3,0.8991,rejected
4855,30/08/2021,GTM,Female,Malay,34,SGR,MNC,R.PANJANG,H-WAVES125I,8050,1310,36,3103,2266.95,0,244,6740,0,,3,0.8373,rejected
4856,30/08/2021,GTM,Male,Malay,31,PNG,OTH,ONLINE SALES,Y-NVXABS,14420,2400,48,10381.93,8305.54,7104.65,351,12020,0.8976,850.31,7,0.8336,approved
4858,30/08/2021,GTM,Male,Malay,31,PRK,MNC,R.PANJANG,H-WAVER125I,8620,860,36,1300,1200,0,281,7760,0,,4,0.9002,rejected
4859,30/08/2021,GTM,Female,Malay,24,PNG,MNC,R.PANJANG,H-WAVES125I,8050,810,48,1729.69,1600.44,0,212,7240,0,,5,0.8994,rejected
4860,30/08/2021,GTM,Male,Malay,39,PRK,SRC,ONLINE SALES,Y-135LC AC,9290,930,48,5167.45,4630.9,1737,244,8360,0.4277,2650.07,5,0.8999,rejected
4861,30/08/2021,GTM,Female,Malay,30,KTN,MNC,T.PULAI,H-VARIO150R,9970,1000,48,1750,1400,0,262,8970,0.1869,1138.38,5,0.8997,stockout
